time,R0_1,R0_2,R0_3,Q0_1,Q0_2,Q0_3,v0_1,v0_2,v0_3,w0_1,w0_2,w0_3,vd0_1,vd0_2,vd0_3,wd0_1,wd0_2,wd0_3,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qd_7,qd_8,qd_9,qd_10,qd_11,qd_12,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,qdd_10,qdd_11,qdd_12,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_max,tau_rms,pos_e1_1,pos_e1_2,pos_e1_3,pos_e2_1,pos_e2_2,pos_e2_3,pos_e3_1,pos_e3_2,pos_e3_3,pos_e4_1,pos_e4_2,pos_e4_3,Fe1_1,Fe1_2,Fe1_3,Fe_res1,Fe2_1,Fe2_2,Fe2_3,Fe_res2,Fe3_1,Fe3_2,Fe3_3,Fe_res3,Fe4_1,Fe4_2,Fe4_3,Fe_res4,Te1_1,Te1_2,Te1_3,Te_res1,Te2_1,Te2_2,Te2_3,Te_res2,Te3_1,Te3_2,Te3_3,Te_res3,Te4_1,Te4_2,Te4_3,Te_res4,tsm,manipulability1,manipulability2,manipulability3,manipulability4,des_q_1,des_q_2,des_q_3,des_q_4,des_q_5,des_q_6,des_q_7,des_q_8,des_q_9,des_q_10,des_q_11,des_q_12
0,0.21,0,0.2,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0.180926460754122,-0.544845141085158,-1.43319791061681,-0.334198044265502,-0.578249146141756,-1.45923889713949,0.237374246973171,-0.645859916697325,-1.49133321106369,-0.0693331336882101,-0.598958989828357,-1.47151323979916,0,0,0,0,2.22044604925031e-14,0,0,-3.33066907387547e-14,0,-8.88178419700125e-14,-2.22044604925031e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.22,5.55111512312578e-17,0.0399999999999999,0.22,-5.55111512312578e-17,0.0399999999999999,-0.2,-6.93889390390723e-17,0.4,-0.2,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175813529623384,0.00218428602782492,0.00200362002791537,0.00168206958567564,0.00189979138736704,0.180926460754122,-0.544845141085158,-1.43319791061681,-0.334198044265502,-0.578249146141756,-1.45923889713949,0.237374246973171,-0.645859916697325,-1.49133321106369,-0.0693331336882101,-0.598958989828357,-1.47151323979916
0.05,0.2117196017747,-4.60556216859649e-05,0.2,-0,0,-0,0.0603334565523195,-0.00161589438372471,0,0,0,0,0,0,0,0,0,0,0.118253536593612,-0.502327260761666,-1.51391326371703,-0.320131408519107,-0.575447077951409,-1.45737535264924,0.220994769010502,-0.642248020287695,-1.49013819528501,-0.081889090135836,-0.603297927696399,-1.47377850231216,-2.14762527723658,1.30657704762001,-2.49761428102886,0.491162398783374,0.0988716157963032,0.0663497444991279,-0.571110094899385,0.127565599518431,0.0427726004030404,-0.443794078570559,-0.152130145271823,-0.078299661897141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40624,0.21376,0.00703999999999999,0.0399999999999999,0.22,2.77555756156289e-17,0.0399999999999998,-0.2,-1.94289029309402e-16,0.4,-0.2,1.11022302462516e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215860255037428,0.00201810357421215,0.00169810679287756,0.00187870184608273,0.118253536593612,-0.502327260761666,-1.51391326371703,-0.320131408519107,-0.575447077951409,-1.45737535264924,0.220994769010502,-0.642248020287695,-1.49013819528501,-0.081889090135836,-0.603297927696399,-1.47377850231216
0.1,0.216387092306027,-0.000171063737690727,0.2,-0,0,-0,0.113395454171628,-0.00303703928146306,0,0,0,0,0,0,0,0,0,0,-0.0359947202247779,-0.441281830643051,-1.63331652421547,-0.283005367076217,-0.567613627798876,-1.4518807009259,0.178114947392836,-0.632099940863268,-1.48650814694724,-0.11744171905606,-0.615005101128016,-1.4794157992639,-3.5587332201246,0.927043341601963,-1.88826275253628,0.887759835789659,0.193111039261096,0.139476249822934,-1.02061274263274,0.250809314859535,0.0935521206706369,-0.883917179943161,-0.283161384648101,-0.130227365010427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42112,0.19888,0.01792,0.0399999999999999,0.22,5.55111512312578e-17,0.0399999999999998,-0.2,-9.71445146547012e-17,0.4,-0.2,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208419171698429,0.002059197861229,0.00174376648721349,0.00182283692793992,-0.0359947202247779,-0.441281830643051,-1.63331652421547,-0.283005367076217,-0.567613627798876,-1.4518807009259,0.178114947392836,-0.632099940863268,-1.48650814694724,-0.11744171905606,-0.615005101128016,-1.4794157992639
0.15,0.223265499404826,-0.000355286224434586,0.2,-0,0,-0,0.15171800800779,-0.00406342170760741,0,0,0,0,0,0,0,0,0,0,-0.222221485806673,-0.44929880374508,-1.63847586948215,-0.231105955298427,-0.555593786088579,-1.44256132804697,0.119068811167877,-0.616407540374851,-1.48004682778151,-0.173944019727268,-0.631906410105647,-1.4864348879489,-3.63733529588961,-0.960601625337831,1.1922615185195,1.11605974107141,0.268987658638919,0.218530335399691,-1.26062954256927,0.352314590872393,0.154526268948274,-1.28971590617608,-0.367870201879128,-0.142217937013633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43888,0.18112,0.01792,0.0399999999999999,0.22,-2.77555756156289e-17,0.0399999999999998,-0.2,-1.38777878078145e-16,0.4,-0.2,8.32667268468867e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204406688035679,0.00212411544859809,0.00181624182609563,0.00174464614288669,-0.222221485806673,-0.44929880374508,-1.63847586948215,-0.231105955298427,-0.555593786088579,-1.44256132804697,0.119068811167877,-0.616407540374851,-1.48004682778151,-0.173944019727268,-0.631906410105647,-1.4864348879489
0.2,0.231617850881939,-0.000578984958337844,0.2,-0,0,-0,0.175301118060817,-0.0046950416621578,0,0,0,0,0,0,0,0,0,0,-0.369232489496069,-0.527471653762021,-1.53201074608021,-0.172525658571933,-0.540546160587848,-1.42914729314193,0.0537486860519758,-0.596586565263416,-1.47023225740004,-0.249517546812965,-0.651443647526882,-1.49308462222862,-2.30363876799515,-1.74283667533978,2.33867903977174,1.18982724276298,0.318063785411893,0.301461408925618,-1.31501328242156,0.420522444451255,0.22499259797808,-1.65134164267489,-0.398356763097263,-0.12377151313121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45376,0.16624,0.00704000000000002,0.0399999999999999,0.22,2.77555756156289e-17,0.0399999999999999,-0.2,-2.77555756156289e-17,0.4,-0.2,6.93889390390723e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020259858050041,0.00220896893616569,0.001911414971405,0.00165748885293592,-0.369232489496069,-0.527471653762021,-1.53201074608021,-0.172525658571933,-0.540546160587848,-1.42914729314193,0.0537486860519758,-0.596586565263416,-1.47023225740004,-0.249517546812965,-0.651443647526882,-1.49308462222862
0.25,0.238865726704902,-0.00077310282436966,0.2,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417965578132236,-0.587629875115709,-1.46511295545283,-0.125503228446149,-0.527387230552402,-1.41550581844801,0.00237467000454039,-0.579095415769867,-1.45979157941365,-0.321532023329001,-0.667068036312469,-1.49739716876666,-0.3450782321611,-0.192861529670796,0.424950561098392,0,0,0,0,0,0,8.88178419700125e-14,5.55111512312578e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,-5.55111512312578e-17,0.0399999999999999,0.22,-5.55111512312578e-17,0.0399999999999999,-0.2,-8.32667268468867e-17,0.4,-0.2,6.93889390390723e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188013736360774,0.00195591209932049,0.00228697365071142,0.00199926737211576,0.00159000140708241,-0.417965578132236,-0.587629875115709,-1.46511295545283,-0.125503228446149,-0.527387230552402,-1.41550581844801,0.00237467000454039,-0.579095415769867,-1.45979157941365,-0.321532023329001,-0.667068036312469,-1.49739716876666
0.3,0.239490291807045,-0.000784261395167302,0.2,-0,0,-0,0.0219133127266097,-0.000391506426842994,0,0,0,0,0,0,0,0,0,0,-0.415720566730351,-0.589727031434237,-1.46635290210294,-0.12158366775583,-0.526270413544811,-1.41425314598162,-0.00179791790566286,-0.577573154621144,-1.45879406603014,-0.264297238186894,-0.61040645534626,-1.56836245238742,0.0790501764430518,-0.0737069707185567,-0.0432847419592264,0.137237862284323,0.0391709303072973,0.0441179567449268,-0.146015979469416,0.0533997833636168,0.0351641227290145,1.9018418695639,1.81631920002272,-2.17837427679086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,0,0.0399999999999999,0.22,-2.77555756156289e-17,0.0399999999999999,-0.2,-5.55111512312578e-17,0.40624,-0.2,0.00704000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00631990661636039,0.0019454040274284,0.00229377805820359,0.00200710404026118,0.00164378854948118,-0.415720566730351,-0.589727031434237,-1.46635290210294,-0.12158366775583,-0.526270413544811,-1.41425314598162,-0.00179791790566286,-0.577573154621144,-1.45879406603014,-0.264297238186894,-0.61040645534626,-1.56836245238742
0.35,0.241185539941432,-0.000814548944475188,0.2,-0,0,-0,0.0411856073070122,-0.000735828040027359,0,0,0,0,0,0,0,0,0,0,-0.409499954408455,-0.595474856640976,-1.46962144158099,-0.111069406143485,-0.523245794525809,-1.41077870927271,-0.0129556529207382,-0.573446641526541,-1.45601276844515,-0.143618262495361,-0.509009603031601,-1.66734591279918,0.152862726460223,-0.140380894170478,-0.0781069630821918,0.253775371025933,0.0733808529002511,0.0854146132331479,-0.268836067653444,0.100167677442398,0.0685680841256087,2.56080427084671,1.89185705717225,-1.44042656954886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,0,0.0399999999999998,0.22,-2.77555756156289e-17,0.04,-0.2,-2.77555756156289e-17,0.42112,-0.2,0.0179199999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019168846777955,0.00231236219409846,0.00202851198885851,0.00177073176811288,-0.409499954408455,-0.595474856640976,-1.46962144158099,-0.111069406143485,-0.523245794525809,-1.41077870927271,-0.0129556529207382,-0.573446641526541,-1.45601276844515,-0.143618262495361,-0.509009603031601,-1.66734591279918
0.4,0.243683800350003,-0.000859183227665757,0.2,-0,0,-0,0.0551044867261957,-0.000984504760660548,0,0,0,0,0,0,0,0,0,0,-0.39998030086838,-0.604089466584015,-1.47418116796518,-0.0959023687649134,-0.518811822678022,-1.40545793748629,-0.0289604623975341,-0.567386184751486,-1.4517146440761,-0.0265859985708188,-0.467423135461317,-1.64889475588195,0.213698787815786,-0.19145949662156,-0.0979527876589614,0.331218103034425,0.0975200351964745,0.119434699140086,-0.348602432211198,0.133414585563596,0.0968682169256496,2.09004088431035,-0.0307688862305922,1.66974724382754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,-5.55111512312578e-17,0.0399999999999998,0.22,2.77555756156289e-17,0.0399999999999999,-0.2,0,0.43888,-0.2,0.0179199999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140623390372341,0.00187487763121701,0.00234003514744125,0.00206040478196658,0.00195668063363307,-0.39998030086838,-0.604089466584015,-1.47418116796518,-0.0959023687649134,-0.518811822678022,-1.40545793748629,-0.0289604623975341,-0.567386184751486,-1.4517146440761,-0.0265859985708188,-0.467423135461317,-1.64889475588195
0.45,0.246717402274696,-0.000913382000111447,0.2,-0,0,-0,0.0636699509841521,-0.00113753658874252,0,0,0,0,0,0,0,0,0,0,-0.387820159951379,-0.614771324928667,-1.47930971837286,-0.0779998761927634,-0.513477895388977,-1.39866967922049,-0.0477146470537164,-0.560075430909712,-1.4461694149118,0.0496439249191853,-0.509861327485583,-1.51979755675706,0.260915158003794,-0.226144149716012,-0.103948858064662,0.371126282283463,0.111415916680302,0.145487434846814,-0.387564261336415,0.152908619077274,0.119390447826007,1.10536901627141,-1.16581415479818,2.76469575491554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,8.32667268468867e-17,0.0399999999999998,0.22,-2.77555756156289e-17,0.0399999999999999,-0.2,-2.77555756156289e-17,0.45376,-0.2,0.00703999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445688557231159,0.00182393824497365,0.00237404564522785,0.00209963358298185,0.00211779372467119,-0.387820159951379,-0.614771324928667,-1.47930971837286,-0.0779998761927634,-0.513477895388977,-1.39866967922049,-0.0477146470537164,-0.560075430909712,-1.4461694149118,0.0496439249191853,-0.509861327485583,-1.51979755675706
