time,R0_1,R0_2,R0_3,Q0_1,Q0_2,Q0_3,v0_1,v0_2,v0_3,w0_1,w0_2,w0_3,vd0_1,vd0_2,vd0_3,wd0_1,wd0_2,wd0_3,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qd_7,qd_8,qd_9,qd_10,qd_11,qd_12,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,qdd_10,qdd_11,qdd_12,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_max,tau_rms,pos_e1_1,pos_e1_2,pos_e1_3,pos_e2_1,pos_e2_2,pos_e2_3,pos_e3_1,pos_e3_2,pos_e3_3,pos_e4_1,pos_e4_2,pos_e4_3,Fe1_1,Fe1_2,Fe1_3,Fe_res1,Fe2_1,Fe2_2,Fe2_3,Fe_res2,Fe3_1,Fe3_2,Fe3_3,Fe_res3,Fe4_1,Fe4_2,Fe4_3,Fe_res4,Te1_1,Te1_2,Te1_3,Te_res1,Te2_1,Te2_2,Te2_3,Te_res2,Te3_1,Te3_2,Te3_3,Te_res3,Te4_1,Te4_2,des_q_1,des_q_2,des_q_3,des_q_4,des_q_5,des_q_6,des_q_7,des_q_8,des_q_9,des_q_10,des_q_11,des_q_12
0.5,0.249349855,-0.000960414,0.2,0,0,0,5.55E-15,-8.67E-17,0,0,0,0,0,0,0,0,0,0,-0.376695097,-0.624227137,-1.483400934,-0.062911509,-0.508906436,-1.392482089,-0.063405897,-0.553789119,-1.4410611,0.070811687,-0.550659602,-1.438392511,2.22E-14,1.11E-14,-1.78E-13,4.44E-14,0,1.78E-13,1.33E-13,5.55E-14,0,0.158596759,-0.192168488,0.449753984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,1.11E-16,0.04,0.22,-5.55E-17,0.04,-0.2,0,0.46,-0.2,8.33E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376695097,-0.624227137,-1.483400934,-0.062911509,-0.508906436,-1.392482089,-0.063405897,-0.553789119,-1.4410611,0.070811687,-0.550659602,-1.438392511
0.55,0.251986562,-0.001019619,0.2,0,0,0,0.092510735,-0.002077244,0,0,0,0,0,0,0,0,0,0,-0.364859386,-0.633841576,-1.487160503,-0.048266006,-0.504370201,-1.38596936,0.035982257,-0.513523786,-1.522508133,0.056049331,-0.557153338,-1.44383564,0.42211742,-0.339106243,-0.12817001,0.509281888,0.158327622,0.231766312,3.417452773,1.264631694,-2.495501886,-0.523858411,-0.228813945,-0.187664861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,0,0.04,0.22,0,0.05248,-0.20624,0.00704,0.46,-0.2,5.55E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364859386,-0.633841576,-1.487160503,-0.048266006,-0.504370201,-1.38596936,0.035982257,-0.513523786,-1.522508133,0.056049331,-0.557153338,-1.44383564
0.6,0.259143337,-0.001180317,0.2,0,0,0,0.173871968,-0.003904136,0,0,0,0,0,0,0,0,0,0,-0.329466118,-0.66066703,-1.495732067,-0.010482029,-0.49247893,-1.366819993,0.2779217,-0.444008305,-1.635111769,0.013254229,-0.575147119,-1.457172765,0.907096341,-0.660717265,-0.186594317,0.892212471,0.282516427,0.485385106,5.460023736,1.303504918,-1.63349373,-1.077819924,-0.441215321,-0.305098118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,5.55E-17,0.04,0.22,0,0.08224,-0.22112,0.01792,0.46,-0.2,2.78E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329466118,-0.66066703,-1.495732067,-0.010482029,-0.49247893,-1.366819993,0.2779217,-0.444008305,-1.635111769,0.013254229,-0.575147119,-1.457172765
0.65,0.269690163,-0.001417137,0.2,0,0,0,0.232632858,-0.005223558,0,0,0,0,0,0,0,0,0,0,-0.266763206,-0.701706052,-1.504179603,0.040313261,-0.476425628,-1.334491141,0.537835616,-0.418105765,-1.61618128,-0.057832213,-0.602179497,-1.473204029,1.507527692,-0.916829503,-0.144966856,1.073095621,0.336439955,0.75663583,4.647836165,-0.15648244,1.826420644,-1.656096109,-0.597672859,-0.318187743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,6.94E-17,0.04,0.22,-2.78E-17,0.11776,-0.23888,0.01792,0.46,-0.2,5.55E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266763206,-0.701706052,-1.504179603,0.040313261,-0.476425628,-1.334491141,0.537835616,-0.418105765,-1.61618128,-0.057832213,-0.602179497,-1.473204029
0.7,0.282497024,-0.001704703,0.2,0,0,0,0.268793406,-0.006035511,0,0,0,0,0,0,0,0,0,0,-0.16789969,-0.752622393,-1.508274598,0.09500259,-0.460067028,-1.288184036,0.692857869,-0.459624262,-1.470602119,-0.158840028,-0.634559539,-1.487425823,2.326266668,-1.068419414,-0.034204651,1.089214072,0.310281922,1.03908845,1.932956162,-1.102991161,3.167261831,-2.264420498,-0.666904636,-0.254632765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,1.25E-16,0.04,0.22,5.55E-17,0.14752,-0.25376,0.00704,0.46,-0.2,-2.78E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16789969,-0.752622393,-1.508274598,0.09500259,-0.460067028,-1.288184036,0.692857869,-0.459624262,-1.470602119,-0.158840028,-0.634559539,-1.487425823
0.75,0.293610366,-0.001954243,0.2,0,0,0,5.55E-15,-4.34E-17,0,0,0,0,0,0,0,0,0,0,-0.053812249,-0.795911298,-1.507167412,0.13703214,-0.449386313,-1.241208853,0.706990566,-0.49696407,-1.374431644,-0.261180521,-0.660787731,-1.495764746,7.77E-14,-2.22E-14,0,4.44E-14,7.77E-14,0,0.429554227,-0.219150198,0.485550801,-8.88E-14,-2.22E-14,1.78E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,-4.16E-17,0.04,0.22,5.55E-17,0.16,-0.26,0,0.46,-0.2,-6.94E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053812249,-0.795911298,-1.507167412,0.13703214,-0.449386313,-1.241208853,0.706990566,-0.49696407,-1.374431644,-0.261180521,-0.660787731,-1.495764746
0.8,0.292708914,-0.001939163,0.2,0,0,0,-0.031628061,0.000529087,0,0,0,0,0,0,0,0,0,0,-0.064214205,-0.792469714,-1.507393524,0.141391972,-0.405743427,-1.367338196,0.713636115,-0.497087194,-1.374633533,-0.252312744,-0.65878162,-1.495215107,-0.362281159,0.120982908,-0.007688573,0.150698684,1.241499927,-3.959253241,0.233222278,-0.004161796,-0.006820118,0.310045634,0.070631938,0.019509996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,5.55E-17,0.04624,0.21376,0.00704,0.16,-0.26,2.78E-17,0.46,-0.2,9.71E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064214205,-0.792469714,-1.507393524,0.141391972,-0.405743427,-1.367338196,0.713636115,-0.497087194,-1.374633533,-0.252312744,-0.65878162,-1.495215107
0.85,0.290262118,-0.001898232,0.2,0,0,0,-0.059444271,0.000994407,0,0,0,0,0,0,0,0,0,0,-0.091291608,-0.783033114,-1.50789518,0.15301286,-0.37529155,-1.57290299,0.731696899,-0.497351129,-1.375065095,-0.228723082,-0.6532318,-1.493621428,-0.642684746,0.23043682,-0.010632086,0.283254864,-0.153497131,-3.641434866,0.439048964,-0.005464522,-0.008921485,0.566668388,0.136181057,0.040112694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,-1.39E-17,0.06112,0.19888,0.01792,0.16,-0.26,5.55E-17,0.46,-0.2,-4.16E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091291608,-0.783033114,-1.50789518,0.15301286,-0.37529155,-1.57290299,0.731696899,-0.497351129,-1.375065095,-0.228723082,-0.6532318,-1.493621428
0.9,0.286656313,-0.001837913,0.2,0,0,0,-0.079533757,0.001330472,0,0,0,0,0,0,0,0,0,0,-0.128306361,-0.768922245,-1.508312311,0.169824038,-0.471849163,-1.651198788,0.758353438,-0.49755149,-1.375391604,-0.195228352,-0.644802684,-1.490988542,-0.788300577,0.312976973,-0.005729768,0.356168645,-3.06474087,0.013245467,0.588225751,-0.002479785,-0.004035921,0.725898792,0.188269686,0.061085953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,0,0.07888,0.18112,0.01792,0.16,-0.26,0,0.46,-0.2,-5.55E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128306361,-0.768922245,-1.508312311,0.169824038,-0.471849163,-1.651198788,0.758353438,-0.49755149,-1.375391604,-0.195228352,-0.644802684,-1.490988542
0.95,0.282277835,-0.001764668,0.2,0,0,0,-0.091896517,0.001537281,0,0,0,0,0,0,0,0,0,0,-0.169063079,-0.751567517,-1.508252248,0.183513516,-0.648816376,-1.576746572,0.790738171,-0.497491005,-1.375293138,-0.156553547,-0.634232967,-1.487305399,-0.819867519,0.365639902,0.006695294,0.154829267,-3.424212548,2.047939642,0.679541747,0.004033331,0.006567019,0.79382307,0.224477244,0.081906953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,2.78E-17,0.09376,0.16624,0.00704,0.16,-0.26,8.33E-17,0.46,-0.2,6.94E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169063079,-0.751567517,-1.508252248,0.183513516,-0.648816376,-1.576746572,0.790738171,-0.497491005,-1.375293138,-0.156553547,-0.634232967,-1.487305399
